"gid";"the_geom";"incidenttyppe";"locationname";"locaccuraccy";"incidenttime";"description";"source";"sourcerate";"sourcerateinfo";"remarks";"noaffectedperson";"nopersonkilled";"nopersoninjured";"coordinate"
143;"0101000020E6100000AC26DE8134C45040E844573955FC3840";12;"Northern Karahi, Power House Roundabout";"Accurate";"2012-11-19 14:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.065704791016 24.985675414854)"
145;"0101000020E6100000C6EB42F371BF5040D8C93362FEED3840";14;"Mominabad";"Estimate";"2012-11-19 19:00:00";"Shooting";"";"F";1;"";1;1;0;"POINT(66.991329970696 24.929662835735)"
90;"0101000020E6100000A2E838CFC7C95040E2F94F5B47E13840";12;"Shah Faisal";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x injured";"";"F";6;"";1;0;0;"POINT(67.15282040174 24.879995066667)"
91;"0101000020E6100000E6E8387707C450406757D418BFFE3840";12;"New Karachi";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"B";1;"";1;0;0;"POINT(67.062955670906 24.995103408662)"
92;"0101000020E610000044F1428BEEC85040958BF2B68BD53840";14;"Korangi";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"F";6;"";1;0;0;"POINT(67.139559569715 24.834163126197)"
94;"0101000020E6100000C5E8380B73C450403E2089AE5BFE3840";12;"New Karachi";"Estimate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"F";6;"";1;0;0;"POINT(67.069521718574 24.99358645294)"
95;"0101000020E6100000D7E8380B76C15040EF36896BB4ED3840";12;"Kati Pahari";"Estimate";"2012-11-14 00:00:00";"Shooting; 2x killed";"";"B";1;"";2;0;0;"POINT(67.022829824043 24.928534241676)"
97;"0101000020E610000029EF422B27C35040FB0D0FF498E43840";12;"PIB Colony";"Estimate";"2012-11-15 00:00:00";"Shooting; 3x killed";"";"F";6;"";3;0;0;"POINT(67.04926568543 24.892958882976)"
98;"0101000020E6100000F7E8387742C550408561163137E23840";14;"Bhahadur, Ghazi Salahuddin Road ";"Accurate";"2012-11-14 00:00:00";"Shooting; 1x killed";"";"C";1;"Poss sectarian killing; ASWJ member";1;0;0;"POINT(67.082181745125 24.883654659237)"
147;"0101000020E6100000EAE838733CC0504098977F0A93F53840";12;"Manghopir Colony";"Estimate";"2012-11-20 10:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.003689580513 24.959274917746)"
100;"0101000020E61000007CE938AB7EBE5040BC20E34824F13840";12;"Orangi Town";"Estimate";"2012-11-15 00:00:00";"Shooting; 1x injured";"";"F";6;"";1;0;0;"POINT(66.976481252268 24.941959910823)"
99;"0101000020E61000009C14576B9CD15040BCA4278014D43840";12;"Bhains Colony, Cattle Colony";"Estimate";"2012-11-15 16:45:00";"Shooting; 1x killed";"";"B";3;"";1;0;0;"POINT(67.275172076263 24.828437814406)"
107;"0101000020E61000001AE9383BEFBD50401E3C5FC93DF13840";3;"Orangi Town";"Estimate";"2012-11-15 19:00:00";"Human Remains Find";"";"F";6;"";1;1;0;"POINT(66.967726522042 24.94234903884)"
109;"0101000020E610000000E938BB2CC45040CE8EB85A34FF3840";12;"New Karachi";"Estimate";"2012-11-15 19:45:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.065230184151 24.99689261442)"
105;"0101000020E6100000B6EB4297CFBD504020E43C069DE83840";12;"Baldia Town, Saeedabad";"Estimate";"2012-11-15 16:30:00";"Shooting";"";"F";6;"";5;1;4;"POINT(66.965795340874 24.908646001688)"
117;"0101000020E6100000C081A1463AC6504001402A21DAF13840";12;"Al Noor";"Estimate";"2012-11-16 18:00:00";"Shooting";"";"F";6;"";3;0;3;"POINT(67.097306878778 24.944734642806)"
119;"0101000020E6100000B681A1D675BE50400441B85AC0EC3840";12;"Balsia Town No.9";"Estimate";"2012-11-16 17:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.975942285272 24.924810094818)"
115;"0101000020E6100000E21144121ABA433FB2AC3DACE34C2D3F";12;"Golimar";"Estimate";"2012-11-16 17:30:00";"Shooting";"";"F";1;"";2;1;2;"POINT(0.00060201905265039 0.00022354392251187)"
121;"0101000020E61000003AE9386BCAC1504043BA97B06BF13840";14;"Qasba Colony";"Estimate";"2012-11-16 20:00:00";"Shooting";"";"F";6;"MQM worker";1;0;1;"POINT(67.027979665353 24.943049466174)"
123;"0101000020E610000023E938BB32BE5040B3E86F1BACEB3840";12;"Baldia Town";"Estimate";"2012-11-16 22:25:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.971846395089 24.9205948971)"
125;"0101000020E610000013E9389B0DC75040187EE293CDF03840";12;"Gulshan-e-Iqbal";"Estimate";"2012-11-17 01:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.110205464913 24.940636866375)"
127;"0101000020E610000010E93853DCC75040E63CA39367EC3840";12;"Gulistan-e-Jauhar";"Estimate";"2012-11-17 15:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.122822576119 24.923455455163)"
129;"0101000020E61000002AE938D352C250408E30F4516FDF3840";12;"Purani Sabzi";"Estimate";"2012-11-17 17:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.036305242135 24.872792360417)"
131;"0101000020E6100000BFE8386B35C05040C4FB8EE772F43840";12;"Manghopir";"Estimate";"2012-11-17 18:30:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.00326042707 24.954878303917)"
133;"0101000020E610000018E9385B6DC550401551F99400F13840";12;"Sohrab Goth";"Estimate";"2012-11-18 13:45:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.084799581124 24.941415129536)"
137;"0101000020E61000006DB24C5AF1C75040682DF0A394EC3840";12;"Gulistan-e-Johar";"Estimate";"2012-11-18 19:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.124106001758 24.924143072259)"
135;"0101000020E6100000B0EF42B75BC650401C165E00BDF03840";4;"Abbas Town";"Estimate";"2012-11-18 21:00:00";"IED explosion";"";"A";1;"RCIED (using mobile phone) in motorcycle, approx 6kgs; 3 shops destroyed; 2x Rangers amongst injured";23;4;19;"POINT(67.099347892158 24.940383933039)"
139;"0101000020E610000065F212D253C85040FC9AABFD4ED43840";10;"Korangi";"Estimate";"2012-11-19 13:30:00";"Robbery";"";"F";6;"";1;0;1;"POINT(67.130116003516 24.829330305477)"
141;"0101000020E61000002EF212F278BF5040E4D0F71B47DE3840";12;"Lyari";"Estimate";"2012-11-19 14:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(66.991756933691 24.868272541048)"
149;"0101000020E610000037E938137AC4504062E6A5C97DE03840";12;"Shaheed e Millat Rd";"Estimate";"2012-11-20 11:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.069950872018 24.876919367793)"
150;"0101000020E6100000FEE8388F5AC25040FEFB4A1BAFE23840";12;"Patel Para";"Estimate";"2012-11-20 14:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.036777310921 24.88548441487)"
